posting_id,user_id,term,start_date,end_date,pop,price_per_month,gender_details,rooms_available,total_rooms,description,created_at,updated_at
11,10,"fall,winter,spring",2021-09-04,2022-08-20,0,1531.00,co-ed,1,1,"1 Bedroom Apartment in the HUB

- Built in 2017

- Close to UW and WLU (5-10 min walk to both)

- All inclusive except HYDRO

- Pet friendly

- Shops and dining right below the building

- Great for students and young professionals",2021-06-01 10:33:24,2021-06-01 10:33:24
12,12,"fall,winter,spring",2021-09-05,2022-08-27,0,950.00,co-ed,1,1,"Currently looking for someone to take over my lease starting September 2021! This is for one room in a 4-bedroom suite at Fergus House (254 Phillip St)!

- $950/month (all utilities & wifi included!)

- private en-suite bathroom

- 3 min walk to UW, 10 min walk to WLU

- super convenient and close to the bus stops and plazas!

- fully furnished unit, fully equipped kitchen

- onsite laundry (pay per use)

- well-equipped onsite gym

- the other bedrooms are currently vacant, so you can request female only/male only/co-ed based on your preferences

- lease is min. 12 months

- virtual tour here: https://www.rez-one.ca/fergus-house/#1580326254664-72690424-3623

Message me if interested!",2021-05-31 18:06:09,2021-05-31 18:06:09
13,13,"fall,winter,spring",2021-09-01,2022-08-23,0,1243.00,co-ed,1,1,"Details:

- Fully furnished with single or double bed, mattress, desk, chair, couches and bar stools

- Utilities and WIFI included

- Rooms sizes are approximately 12' x 9'

- Coin-operated laundry facilities on site

WCRI Features & Amenities

- Fitness Centre

- 24/7 staff support

- Bookable community events space

- Community programming and activities

- Volunteer opportunities and leadership skills training

- Study lounges

- Secure bike shed

- Communal courtyard, decks and BBQs

- Directly across UW campus

- Conveniently located near local bus stop and right across UW Plaza

Please apply at www.wcri.coop/app",2021-05-28 17:06:09,2021-05-28 17:06:09
14,14,fall,2021-09-01,2021-12-29,0,600.00,male,1,5,"Preston House - 1/5 rooms available

Available from May 2021 - August 2021

1 Bed with en suite bathroom (Room 4 - LARGEST room in apartment)

Bedroom is furnished with queen sized bed, desk, desk chair, night stand.

Bathroom has shower, toilet, and sink.

Shared access to living room (furnished) and kitchen (furnished). Apartment amenities include study room, billiard table, table tennis, pay-per-use laundry room, access to Bridgeport gym.

Location:

5 min. walk to Wilfrid Laurier University

4 min. drive to University of Waterloo

8 min. walk to Conestoga College

Across the street from GRT Bus stop.",2021-05-27 12:23:55,2021-05-27 12:23:55
15,15,"fall,winter,spring",2021-09-01,2022-08-23,0,550.00,co-ed,1,5,"Available: September 2021 to August 2022

- Intersection of King St. and Columbia St., Waterloo, ON N2L 3K5

- 1 furnished room (Room number#1) in a 5 bedroom house

- All utilities included: Heat, Hydro, Water, central air condition

- Free unlimited wireless internet

- House includes a large fridge, microwave

- 2, 3Pcs Washrooms

- Furnished living and dining rooms

- Professional Lawn Care and Snow Removal (you don't have to do anything)

- Walking distance to WLU and Conestoga College

- Short bus ride to Waterloo University

- Bus #31 is 1 minute away, #201 and #7 are 2 minutes away, #19 is 4 minutes away from the house

- Close to all amenities (Pizza shop and convenience store are just 3 minutes walk)

- Free laundry in the house (you don't have to pay for it!)

- Individual room lock

- No smoking, party, and sleepover

- No visitors (safety measures for Covid19)

- Rent priced below market value

- Single person (a couple not allowed)

- Students only

Note: Room numbers are labeled in the pictures. Room number#1 is available now.

The rent is way cheaper than the other houses in the area. So Hurry Up!",2021-05-27 13:06:09,2021-05-27 13:06:09
16,16,"fall,winter,spring",2021-09-06,2022-08-26,0,575.00,co-ed,1,4,"1 unfurnished bedroom in 5 bed 2 bath house! House is located on Fir st and only a minute walk to campus! lease is a year lease from Sept 2021 to Step 2022. rent is 575 plus utilities. There is a laundry room in the house as well as a front and back porch!

Currently living in the house is 2 guys and 2 girls and a dog! we are all 4th years at Laurier and looking to add another friend to the house! Let me know if you interested and would like to know more!",2021-05-27 23:23:23,2021-05-27 23:23:23
17,17,"fall,winter,spring",2021-09-03,2022-08-27,0,1965.00,co-ed,2,2,"- Nice 2 bed and 2 bath at the HUB

- Built in 2017

- All inclusive except Hydro

- Close to UW and WLU (10 min walk to both)

- Pet friendly

- Shops and dining right below

- Great for students and young professionals",2021-05-27 12:26:45,2021-05-27 12:26:45
18,18,"fall,winter,spring",2021-09-06,2022-08-22,0,1600.00,co-ed,2,3,"1 bedroom + den

- Fully furnished unit with large floor to ceiling windows

- One furnished bedroom + one unfurnished den

- All utilities & Internet included. Hydro extra

- Parking available

- Pet friendly

- Laundry room available (or install your own in the unit)

- 5-7 mins walk to UW and WLU

PM for more info!",2021-05-26 11:10:24,2021-05-26 11:10:24
19,19,"fall,winter,spring",2021-09-10,2022-08-22,0,1757.00,co-ed,2,3,"- 2 Bed 1 Bath on Albert Street

- Great for students and young professionals

- All inclusive except Hydro

- Very close to UW and WLU (5 min walk to both)

- Pet friendly

- Steps away to school, dining and entertainment",2021-05-19 10:45:54,2021-05-19 10:45:54
20,20,spring,2022-05-10,2022-08-27,0,1000.00,female,2,5,"Looking for a female to takeover my roommate’s portion of the lease since she’s moving out. Lease ends on august 26th but can be renewed further. Price includes Wi-Fi. Utilities are paid separately

- pet friendly

- fully furnished

- move in ASAP

- walking distance to UW and WLU

- surrounded by shopping plazas

- first month free of charge",2021-05-17 12:56:32,2021-05-17 12:56:32
